organismo_sigla,trimestre,monto_total,anio,tri,Trimestre,monto_cuartil,cuartil
MGAP,2021.3,33,2021,3,19,Cuartil 2,2
MGAP,2021.4,41,2021,4,20,Cuartil 3,3
MI,2021.1,170,2021,1,17,Cuartil 3,3
MI,2021.2,192,2021,2,18,Cuartil 3,3
MI,2021.3,1042,2021,3,19,Cuartil 4,4
MI,2021.4,405,2021,4,20,Cuartil 4,4
MIDES,2021.1,78,2021,1,17,Cuartil 3,3
MIDES,2021.2,210,2021,2,18,Cuartil 3,3
MIDES,2021.3,251,2021,3,19,Cuartil 4,4
MIDES,2021.4,375,2021,4,20,Cuartil 4,4
MIEM,2021.1,6,2021,1,17,Cuartil 1,1
MIEM,2021.2,7,2021,2,18,Cuartil 1,1
MIEM,2021.3,13,2021,3,19,Cuartil 2,2
MIEM,2021.4,27,2021,4,20,Cuartil 2,2
MRREE,2021.1,7,2021,1,17,Cuartil 1,1
MRREE,2021.2,5,2021,2,18,Cuartil 1,1
MRREE,2021.3,20,2021,3,19,Cuartil 2,2
MRREE,2021.4,20,2021,4,20,Cuartil 2,2
MSP,2021.1,309,2021,1,17,Cuartil 4,4
MSP,2021.2,1547,2021,2,18,Cuartil 4,4
MSP,2021.3,352,2021,3,19,Cuartil 4,4
MSP,2021.4,442,2021,4,20,Cuartil 4,4
MT,2021.1,33,2021,1,17,Cuartil 2,2
MT,2021.2,3,2021,2,18,Cuartil 1,1
MT,2021.3,15,2021,3,19,Cuartil 2,2
MT,2021.4,16,2021,4,20,Cuartil 2,2
MTOP,2021.1,250,2021,1,17,Cuartil 4,4
MTOP,2021.2,6156,2021,2,18,Cuartil 4,4
MTOP,2021.3,164,2021,3,19,Cuartil 3,3
MTOP,2021.4,108,2021,4,20,Cuartil 3,3
MTSS,2021.1,24,2021,1,17,Cuartil 2,2
MTSS,2021.2,3,2021,2,18,Cuartil 1,1
MTSS,2021.3,5,2021,3,19,Cuartil 1,1
MTSS,2021.4,3,2021,4,20,Cuartil 1,1
MVOTMA,2021.1,1,2021,1,17,Cuartil 1,1
MVOTMA,2021.2,2,2021,2,18,Cuartil 1,1
MVOTMA,2021.3,1,2021,3,19,Cuartil 1,1
MVOTMA,2021.4,1,2021,4,20,Cuartil 1,1
Presidencia,2021.1,57,2021,1,17,Cuartil 3,3
Presidencia,2021.2,15,2021,2,18,Cuartil 2,2
Presidencia,2021.3,17,2021,3,19,Cuartil 2,2
Presidencia,2021.4,64,2021,4,20,Cuartil 3,3
