anio,iditem,monto_estandar,cantidad_estandar,unidad_estandar
2019,157,122,60,KILOGRAMOS
2019,157,174,60,KILOGRAMOS
2019,157,201,3,KILOGRAMOS
2019,157,111,41,KILOGRAMOS
2019,157,199,90,KILOGRAMOS
2019,157,105,30,KILOGRAMOS
2020,157,195,35,KILOGRAMOS
2019,157,174,60,KILOGRAMOS
2019,157,221,6,KILOGRAMOS
2019,157,180,4,KILOGRAMOS
2019,157,210,1,KILOGRAMOS
2019,157,197,40,KILOGRAMOS
2019,157,261,5,KILOGRAMOS
2019,157,261,6,KILOGRAMOS
2019,157,167,7,KILOGRAMOS
2019,157,152,2,KILOGRAMOS
2019,157,174,60,KILOGRAMOS
2019,157,174,10,KILOGRAMOS
2019,157,272,24,KILOGRAMOS
2019,157,105,30,KILOGRAMOS
2019,157,193,10,KILOGRAMOS
2019,157,190,10,KILOGRAMOS
2019,157,210,20,KILOGRAMOS
2019,157,122,300,KILOGRAMOS
2019,157,219,5,KILOGRAMOS
2020,157,98,30,KILOGRAMOS
2020,157,125,30,KILOGRAMOS
2020,157,160,12,KILOGRAMOS
2020,157,211,180,KILOGRAMOS
2020,157,92,150,KILOGRAMOS
2020,157,170,60,KILOGRAMOS
2020,157,220,28,KILOGRAMOS
2020,157,205,20,KILOGRAMOS
2020,157,109,30,KILOGRAMOS
2020,157,226,25,KILOGRAMOS
2020,157,127,60,KILOGRAMOS
2020,157,215,4,KILOGRAMOS
2020,157,189,1,KILOGRAMOS
2020,157,123,4,KILOGRAMOS
2020,157,202,1,KILOGRAMOS
2020,157,182,20,KILOGRAMOS
2020,157,263,2,KILOGRAMOS
2020,157,197,20,KILOGRAMOS
2020,157,125,30,KILOGRAMOS
2020,157,174,150,KILOGRAMOS
2020,157,180,4,KILOGRAMOS
2020,157,210,65,KILOGRAMOS
2020,157,99,4,KILOGRAMOS
2020,157,115,8,KILOGRAMOS
2020,157,152,5,KILOGRAMOS
2020,157,204,100,KILOGRAMOS
2020,157,166,6,KILOGRAMOS
2020,157,138,12,KILOGRAMOS
2020,157,206,100,KILOGRAMOS
2020,157,134,2,KILOGRAMOS
2020,157,89,50,KILOGRAMOS
2020,157,226,3,KILOGRAMOS
2020,157,273,2,KILOGRAMOS
2020,157,156,6,KILOGRAMOS
2020,157,147,2,KILOGRAMOS
2020,157,212,1,KILOGRAMOS
2020,157,229,1.5,KILOGRAMOS
2020,157,102,30,KILOGRAMOS
2020,157,162,50,KILOGRAMOS
2020,157,162,15,KILOGRAMOS
2020,157,211,48,KILOGRAMOS
2020,157,233,5,KILOGRAMOS
2020,157,120,2,KILOGRAMOS
2020,157,170,85,KILOGRAMOS
2020,157,145,60,KILOGRAMOS
2020,157,228,50,KILOGRAMOS
2020,157,120,2,KILOGRAMOS
2020,157,177,10,KILOGRAMOS
2020,157,177,60,KILOGRAMOS
2020,157,127,5,KILOGRAMOS
2020,157,89,50,KILOGRAMOS
2020,157,131,42,KILOGRAMOS
2020,157,144,1000,KILOGRAMOS
2020,157,191,10,KILOGRAMOS
2021,157,188,96,KILOGRAMOS
2020,157,189,7.5,KILOGRAMOS
2020,157,126,3,KILOGRAMOS
2021,157,186,30,KILOGRAMOS
2021,157,159,36,KILOGRAMOS
2020,157,170,1,KILOGRAMOS
2020,157,232,10,KILOGRAMOS
2020,157,92,140,KILOGRAMOS
2020,157,206,20,KILOGRAMOS
2020,157,197,10,KILOGRAMOS
2020,157,207,12,KILOGRAMOS
2020,157,180,1,KILOGRAMOS
2020,157,152,85,KILOGRAMOS
2020,157,146,6,KILOGRAMOS
2021,157,156,50,KILOGRAMOS
2020,157,112,4,KILOGRAMOS
2020,157,118,2,KILOGRAMOS
2020,157,189,15,KILOGRAMOS
2020,157,189,5,KILOGRAMOS
2020,157,118,60,KILOGRAMOS
2020,157,85,24,KILOGRAMOS
2020,157,133,20,KILOGRAMOS
2020,157,218,100,KILOGRAMOS
2020,157,144,45,KILOGRAMOS
2021,157,230,45,KILOGRAMOS
2020,157,113,6,KILOGRAMOS
2021,157,106,520,KILOGRAMOS
2020,157,184,100,KILOGRAMOS
2020,157,139,10,KILOGRAMOS
2020,157,95,40,KILOGRAMOS
2020,157,175,50,KILOGRAMOS
2020,157,175,10,KILOGRAMOS
2020,157,221,5,KILOGRAMOS
2020,157,143,60,KILOGRAMOS
2021,157,124,3,KILOGRAMOS
2021,157,141,30,KILOGRAMOS
2021,157,126,20,KILOGRAMOS
2021,157,155,3,KILOGRAMOS
2021,157,206,2,KILOGRAMOS
2021,157,150,80,KILOGRAMOS
2021,157,207,30,KILOGRAMOS
2021,157,122,180,KILOGRAMOS
2021,157,92,130,KILOGRAMOS
2021,157,193,36,KILOGRAMOS
2021,157,130,40,KILOGRAMOS
2021,157,100,35,KILOGRAMOS
2021,157,227,15,KILOGRAMOS
2021,157,108,100,KILOGRAMOS
2021,157,104,100,KILOGRAMOS
2021,157,109,4,KILOGRAMOS
